date,lake,temperature_f,depth_ft,species,catch_count
2024-05-01,White Bear,68.6,5.2,Walleye,2
2024-05-02,Leech Lake,65.9,38.9,Northern Pike,3
2024-05-03,Minnetonka,68.6,2.6,Bass,3
2024-05-04,White Bear,54.1,35.6,Bass,1
2024-05-05,White Bear,66.5,56.5,Crappie,1
2024-05-06,Leech Lake,70.5,35.0,Northern Pike,1
2024-05-07,Minnetonka,78.3,23.9,Northern Pike,2
2024-05-08,Minnetonka,64.4,39.0,Northern Pike,2
2024-05-09,White Bear,62.3,28.0,Northern Pike,5
2024-05-10,Mille Lacs,64.5,33.2,Bass,5
2024-05-11,White Bear,74.4,56.5,Bass,2
2024-05-12,White Bear,70.3,23.8,Walleye,2
2024-05-13,White Bear,64.3,57.7,Walleye,3
2024-05-14,White Bear,71.6,54.4,Northern Pike,2
2024-05-15,Leech Lake,68.7,12.6,Northern Pike,1
2024-05-16,Minnetonka,74.8,5.1,Northern Pike,2
2024-05-17,Leech Lake,63.1,6.9,Walleye,5
2024-05-18,Leech Lake,65.7,2.1,Crappie,5
2024-05-19,Leech Lake,65.3,6.6,Crappie,3
2024-05-20,White Bear,57.8,41.3,Walleye,4
2024-05-21,Mille Lacs,70.1,5.2,Walleye,1
2024-05-22,Minnetonka,69.8,19.8,Walleye,3
2024-05-23,Mille Lacs,68.0,50.8,Walleye,4
2024-05-24,Leech Lake,66.4,2.4,Walleye,3
2024-05-25,Leech Lake,58.1,49.1,Walleye,3
2024-05-26,Mille Lacs,65.1,17.6,Northern Pike,3
2024-05-27,Mille Lacs,65.6,8.0,Northern Pike,3
2024-05-28,Mille Lacs,62.4,42.1,Northern Pike,5
2024-05-29,Leech Lake,66.9,38.1,Northern Pike,3
2024-05-30,Leech Lake,70.8,52.8,Walleye,5
2024-05-31,Minnetonka,81.2,44.4,Crappie,2
2024-06-01,Minnetonka,69.2,48.4,Bass,2
2024-06-02,Leech Lake,69.8,17.6,Walleye,5
2024-06-03,Mille Lacs,67.5,11.5,Bass,3
2024-06-04,Mille Lacs,54.6,45.3,Crappie,3
2024-06-05,Minnetonka,67.8,48.6,Northern Pike,3
2024-06-06,Leech Lake,68.4,59.4,Crappie,6
2024-06-07,Minnetonka,85.2,25.3,Walleye,6
2024-06-08,Minnetonka,66.7,22.9,Northern Pike,3
2024-06-09,White Bear,70.1,46.8,Walleye,5
2024-06-10,White Bear,67.8,21.1,Northern Pike,2
2024-06-11,White Bear,59.8,55.9,Bass,4
2024-06-12,Mille Lacs,76.0,51.6,Bass,3
2024-06-13,Leech Lake,73.3,26.3,Bass,2
2024-06-14,Leech Lake,73.5,45.3,Crappie,4
2024-06-15,Leech Lake,61.6,45.5,Walleye,1
2024-06-16,Leech Lake,77.8,7.1,Crappie,3
2024-06-17,White Bear,58.2,54.3,Bass,1
2024-06-18,Mille Lacs,72.1,30.8,Walleye,3
2024-06-19,Mille Lacs,83.3,49.8,Bass,3
2024-06-20,White Bear,61.1,19.9,Crappie,1
2024-06-21,Mille Lacs,64.0,53.8,Crappie,2
2024-06-22,White Bear,68.7,24.0,Crappie,4
2024-06-23,Leech Lake,64.5,1.6,Bass,2
2024-06-24,White Bear,57.1,54.4,Walleye,5
2024-06-25,Leech Lake,68.5,6.4,Walleye,0
2024-06-26,Leech Lake,60.6,19.8,Bass,3
2024-06-27,Minnetonka,71.3,57.1,Walleye,2
2024-06-28,White Bear,61.6,57.1,Bass,0
2024-06-29,Minnetonka,78.8,34.8,Walleye,2
2024-06-30,White Bear,62.5,38.3,Northern Pike,2
2024-07-01,White Bear,65.7,27.5,Northern Pike,4
2024-07-02,Minnetonka,73.7,18.3,Crappie,2
2024-07-03,Minnetonka,59.4,20.4,Northern Pike,1
2024-07-04,White Bear,69.6,40.7,Northern Pike,1
2024-07-05,Mille Lacs,77.1,45.4,Northern Pike,0
2024-07-06,Leech Lake,56.7,47.7,Bass,2
2024-07-07,Minnetonka,69.3,47.6,Northern Pike,4
2024-07-08,Leech Lake,69.8,6.4,Northern Pike,3
2024-07-09,Mille Lacs,73.5,30.2,Crappie,5
2024-07-10,Mille Lacs,59.3,4.4,Northern Pike,5
2024-07-11,Mille Lacs,58.8,33.4,Northern Pike,3
2024-07-12,Minnetonka,71.7,27.1,Walleye,4
2024-07-13,Mille Lacs,70.1,53.4,Crappie,1
2024-07-14,Minnetonka,69.8,21.7,Crappie,3
2024-07-15,Mille Lacs,70.4,7.9,Crappie,4
2024-07-16,Leech Lake,63.2,9.4,Crappie,4
2024-07-17,Leech Lake,69.6,45.9,Crappie,3
2024-07-18,White Bear,70.1,37.5,Crappie,2
2024-07-19,Leech Lake,63.0,7.0,Bass,2
2024-07-20,White Bear,81.1,6.0,Northern Pike,3
2024-07-21,Leech Lake,71.3,42.4,Crappie,3
2024-07-22,Minnetonka,59.7,5.3,Northern Pike,4
2024-07-23,Leech Lake,72.6,49.5,Northern Pike,0
2024-07-24,White Bear,61.2,42.7,Bass,2
2024-07-25,White Bear,73.5,5.8,Crappie,4
2024-07-26,Mille Lacs,76.1,6.0,Walleye,2
2024-07-27,Minnetonka,62.3,59.2,Bass,4
2024-07-28,Leech Lake,74.7,23.1,Walleye,3
2024-07-29,Mille Lacs,70.9,22.9,Northern Pike,2
2024-07-30,Leech Lake,73.8,49.0,Northern Pike,3
2024-07-31,Leech Lake,81.3,56.9,Bass,7
2024-08-01,Mille Lacs,66.3,59.2,Bass,3
2024-08-02,Mille Lacs,62.7,45.4,Walleye,5
2024-08-03,Mille Lacs,61.8,23.2,Crappie,8
2024-08-04,Mille Lacs,62.3,5.9,Walleye,1
2024-08-05,Mille Lacs,67.5,46.9,Bass,2
2024-08-06,Leech Lake,70.4,33.9,Walleye,2
2024-08-07,Mille Lacs,69.9,26.0,Bass,1
2024-08-08,Minnetonka,73.8,54.5,Walleye,3
2024-08-09,White Bear,68.1,7.6,Bass,4
2024-08-10,Mille Lacs,78.2,30.1,Bass,1
2024-08-11,Mille Lacs,66.1,1.7,Bass,7
2024-08-12,Leech Lake,87.0,28.7,Crappie,6
2024-08-13,Mille Lacs,72.4,4.3,Walleye,2
2024-08-14,Mille Lacs,62.0,8.0,Walleye,2
2024-08-15,Mille Lacs,60.5,7.9,Walleye,1
2024-08-16,Leech Lake,71.4,39.3,Bass,0
2024-08-17,Mille Lacs,66.4,45.0,Walleye,4
2024-08-18,White Bear,73.0,35.4,Walleye,3
2024-08-19,Leech Lake,71.3,57.8,Bass,4
2024-08-20,White Bear,67.5,23.1,Northern Pike,5
2024-08-21,Leech Lake,62.1,17.9,Bass,1
2024-08-22,Mille Lacs,57.4,52.2,Walleye,1
2024-08-23,White Bear,64.9,14.2,Bass,2
2024-08-24,Leech Lake,74.0,57.8,Northern Pike,6
2024-08-25,Minnetonka,69.5,1.7,Bass,3
2024-08-26,Mille Lacs,59.3,58.2,Walleye,3
2024-08-27,Leech Lake,69.2,3.5,Northern Pike,2
2024-08-28,Minnetonka,70.7,53.6,Crappie,6
